isbn,title,category
7108010364,中_大_史,
710800982X,万_十五年,
7108015412,_河青山——_仁宇回__,
7108014572,地北天南_古今,
7500054459,股票操作_（第二版）,
7108014580,_系千万重,
753553354x,_化新篇章,
7806272011,文化苦旅,
7800288447,_雅的涂_,
7108004496,赫_河畔_中__史,
7801495519,_五常作品系列（第一_）（共三_）,
7506316501,霜冷_河,
7108018802,我_仨,
750631889X,千年一_,
7108009153,_本主_与二十一世_,
7540424222,富萍,
7801423844,行者_疆,
7532216462,西游_（__本）,
7539915145,池莉文集7：惊世之作,
7544216381,沈_文_典,
7506309572,_恨歌,
7506320207,脂__重_石__甲戌校本,
7810457020,方舟在_,
7020024750,_城,
7539605952,__玲文集,
7801423968,水与火的__,
7805315744,山居__,
7108012073,庄子__,
7532214087,三_演_（__本）,
7108014696,放__史的_界,
7531322013,_知者_畏,
7541118699,__的女儿,
7544219569,_迅与我七十年,
7100039312,新_字典（第10版）,
7108009455,_寅恪集·柳如是__（上、中、下）,
7101007473,管__（全五_）,
7507209083,_代化的陷阱——_代中_的__社___,
7540426071,音_入_,
7108013525,北京城__,
7108017105,肚大能容：中__食文化散_,
7200044822,__小_,
7506314185,上海的_花雪月,
7540725869,《小__刊》金榜小_　中篇卷（上、下）,
7309016629,_宗与道家,
7539912375,池莉文集6：致___月,
7801423089,生活的__,
7020033644,_埃落定,
7101022618,__常_,
7108002175,洗澡,
7108015358,_史新_,
7500649401,有了快感你就喊,
750631942X,哈佛女孩　_亦婷／素_培___,
7532216950,水__（__本）,
7108013835,蔡志忠中_古籍_典漫_（珍藏版）,
7530206370,_字（全三_）,
753063075X,《小_月_》第七_百花___作品集,
7532503445,_治通_（全二_）,
7533914562,三_,
7535710654b,___史——_大爆炸到黑洞（10年修_本）,
7539913665,怎么_你也不_,
7540725850,《小__刊》金榜小_　短篇卷,
7544220370,上种_菱下种藕,
7020008720,三_演_（上、下）,
7100017777,_代___典（修_本）,
710100377X,___（__本）,
7108009382,_寅恪集·寒柳堂集,
7108013606,__与__,
7535421016,康熙大帝,
7503915862,我的精神家_——王小波_文自_集,
7506312905,威尼斯日_,
7530633465,西方音_的故事,
7532123189,_文解气,
7500646712,青__代,
7544217973,百年思索,
754430048X,__：直面中___腐_,
7544304825,_振宁文_：一位科_大_看人和__世界,
780151419X,哈佛天才——用卡_·威特法_培_出的哈佛孩子,
780676156X,跨_厚厚的大__,
7020037704,唐浩明文集·曾_藩（共三_）,
7100017661,_史大_（修_本全__）,
7101020097,事林__,
7101021034,周作人丰子_儿童_事____,
7108012723,梓室余墨：__周__,
7208033986,_史研究（修_插_本）,
720803849X,我_我看,
7220042892,易_64卦384爻故事,
7500438842,今生今世——我的情感_程,
7501157766,GRE__精_,
7505707663,中_人史_（上下）,
750571550X,胡适__,
7506318776,俗世奇人,
753063139X,晚清的魅力,
7532725693,挪威的森林（全_本）,
753390995X,___散文,
7539912367,池莉文集5： 午夜起舞,
7539914645,口_,
7540728310,沈_文作品精_,
7020036112,宋__注,
780655808,金庸作品集（新版·12种36_）,
7108010313,榆下__,
