isbn,title,category,author,publisher,publishdate
9789869303033,如何讓商品暢銷又長銷？,商管理財,太田昌宏,核果文化,
9787508660745,信譽經濟──大數據時代的個人信息價值與商業變革（精）,商管理財,邁克爾．費蒂克[美],中信出版社,2016/05/01
9789866006869,不懂帶團隊，那就大家一起死！－－行為科學教你把豬一般的隊友變菁英,商管理財,石田淳,如果出版社,2016/03/01
9787302414780,台灣好物──尋臺北生活設計好店,商管理財,喜琳,清華大學出版社,2016/03/01
9789863611684,富爸爸理財IQ－－愈精明，愈有錢,商管理財,羅勃特．T. 清崎,英屬維京群島商高寶國際有限公司台灣分公司,2015/08/12
9789888444779,紅白藍三部曲－－沉溺之紅,文學與小說,梁望峯,日閱堂,2017/06/01
9789888365951,介意哥 介意為快樂之本,文學與小說,阿柱,Sign HK,2017/06/01
9789865824808,深夜食堂(18),文學與小說,安倍夜郎,新經典,2017/05/31
9787500865582,信使,文學與小說,劉慈欣,中國工人出版社,2017/04/01
9789881468635,是咁的，我覺得我住嗰度有啲唔妥,文學與小說,做金庸的男人,天行者出版,2017/04/01
9573330121,解憂雜貨店,文學與小說,,,
9789869374859,沒有人應該堅強一輩子,心理勵志,艾莉,悅知文化,2016/11/21
9789869368834,京都大學不外傳！會讀書也會思考的學習法－－33個你一定要知道的學習關鍵Q&A，一,心理勵志,京都大學學習法研究會,奇光,2016/11/09
9789861794679,心情整理術－－今天也為你加油,心理勵志,井上裕之,大田出版有限公司,2016/11/07
9789869488532,低醣甜點 不發胖更健康──日日甜點無罪惡,美食文化,石澤清美,三悅文化圖書,2017/08/20
9789869454629,泰菜熱,美食文化,阿明師(李明芢),男子製本所,2017/08/09
9787518409662,幸福烘焙──4000萬網友追捧的家庭烘焙食譜,美食文化,樸貞美[韓],中國輕工業出版社,2016/07/01
9789869500623,尋山－－流浪攝影師的藏地手記,旅遊地理,林盟山,遠足文化事業股份有限公司,2017/08/16
9789869358842,885公尺的巴黎,旅遊地理,伊蓮．秀黎諾,行人出版,2016/10/25
9787534950216,向野早苗的優雅居家拼布,生活趣味,,,
7542623230,标竿人生,宗教哲學,,,
9624575282,中國乎？本土兮！,宗教哲學,,,
9624575347,慈心怜悯,宗教哲學,,,
781036779X,药材养生事典,養生保健,,,
7301223218,儿童的世纪,兒童圖書,,,
7800876551,蒙台梭利儿童教育手册,親子教育,,,
