type,area,sfid,address
順豐服務中心,上環,852M,香港上環文咸東街91號及永樂街117號文樂商業大廈地下A號舖
順豐服務中心,上環,852MA,香港西營盤朝光街4A號兆祥坊A2地下
順豐服務中心,上環,852MB,香港中環德輔道中21至23號歐陸貿易中心9樓902B室
順豐服務中心,港島東,852P,香港炮台山宏安道18號威德閣地下13號舖
順豐服務中心,港島東,852PA,香港鰂魚涌英皇道1065號東達中心19樓3A室
順豐服務中心,港島東,852PB,香港柴灣嘉業街10號益高工業大廈地下B室
順豐服務中心,灣仔,852T,香港灣仔謝斐道404-406號文石大廈地下A及B號舖
順豐服務中心,灣仔,852TA,"香港灣仔聯發街9, 11-13號莊士頓大樓地下D舖"
順豐服務中心,灣仔,852TB,香港黃竹坑香業道6號及業發街6號益年工業大廈地下A2號舖
順豐服務中心,灣仔,852TC,香港灣仔謝斐道182號地下
順豐服務中心,灣仔,852TD,香港銅鑼灣希雲街15號地下
順豐服務中心,九龍灣,852H,九龍九龍灣宏泰道12號榮發工業大廈地下5號舖
順豐服務中心,九龍灣,852J,香港九龍新蒲崗五芳街28號 / 四美街21-25號利森工廠大廈地下4號A鋪
順豐服務中心,尖沙咀,852E,九龍尖沙咀漆咸圍6號及8號紀德樓地下
順豐服務中心,尖沙咀,852EA,九龍佐敦廟街271號地下(連閣樓)
順豐服務中心,尖沙咀,852EB,九龍尖沙咀麼地道75號南洋中心地下60-66號舖
順豐服務中心,旺角,852B,九龍太子大南街26號地下
順豐服務中心,旺角,852BA,九龍旺角汝州街58號
順豐服務中心,旺角,852BB,九龍油麻地廣東道831號金華大廈B座地下B1舖
順豐服務中心,旺角,852BD,九龍福全街17-19號地下AB1鋪
順豐服務中心,紅磡,852K,九龍紅磡鶴園街2G號恒豐工業大廈二期地下D3號舖
順豐服務中心,觀塘,852C,九龍觀塘偉業街170號豐業工業大廈B地舖
順豐服務中心,觀塘,852CA,九龍觀塘鴻圖道80號鴻圖工業大廈地下1號舖
順豐服務中心,觀塘,852CC,九龍觀塘偉業街145號越成工廠大廈地下
順豐服務中心,觀塘,852CD,九龍觀塘成業街6號泓富廣場7樓708室
順豐服務中心,荔枝角,852D,九龍荔枝角永康街24-26號順昌工業大廈地下A舖
順豐服務中心,荔枝角,852DB,九龍荔枝角永康街37號福源廣場地下A2舖
順豐服務中心,葵涌,852L,新界葵涌大連排道葵昌路1-7號禎昌工業大廈地下C舖
順豐服務中心,葵涌,852LA,新界葵涌打磚坪街68號和豐工業中心地下6號6B室
順豐服務中心,葵涌,852LB,新界葵涌葵豐街18-26號永康工業大廈J座地下
順豐服務中心,沙田,852F,新界沙田火炭坳背灣街53-55號美高工業大廈地下B室
順豐服務中心,沙田,852FE,新界沙田黃竹洋街1-3號裕昌中心地下E室
順豐服務中心,荃灣,852G,新界荃灣沙咀道26-38號匯力工業中心地下7及8B舖
順豐服務中心,荃灣,852GA,新界荃灣灰窰角街34號毓光工業大厦地下A號舖
順豐服務中心,屯門,852U,新界屯門河田街4號凱昌工業大廈地下A及B舖
順豐服務中心,元朗,852UA,新界元朗宏業東街18號宏業工貿中心地下L及L1舖
順豐服務中心,粉嶺,852A,新界粉嶺業豐街20號利亨中心地下3室
順豐服務中心,大埔,852AA,新界大埔同茂坊1及3號北翼地鋪
順豐站,香港仔,852TAL,香港香港仔湖北街12號裕景中心9樓1室
順豐站,香港仔,852TBL,香港薄扶林華富道18號華富(一)邨華安樓119號舖
順豐站,鴨脷洲,852TCL,香港鴨脷洲鴨脷洲大街42-44號地下1號舖
順豐站,筲箕灣,852PAL,香港筲箕灣南康街17號天悅筲箕灣廣場1樓1142及1143號舖
順豐站,西環,852MAL,西環厚和街28號順昌大廈地下C舖
順豐站,西環,852MCL,香港西環西祥街2號寶翠閣地下9號舖
順豐站,北角,852PBL,香港北角英皇道480號豐富商場地下8號鋪
順豐站,北角,852PDL,香港北角英皇道255號國都商場2樓202及203號舖
順豐站,天后,852PJL,香港天后英皇道14號僑興大廈天后蘋果商場地下G05及G15號舖
順豐站,柴灣,852PCL,香港柴灣祥利街29號國貿中心5樓1室
順豐站,柴灣,852PKL,香港柴灣道341-343號宏德居B座商場1樓B舖及C舖
順豐站,柴灣,852PFL,香港柴灣盛泰道100號杏花新城212號舖
順豐站,鰂魚涌,852PEL,香港鰂魚涌芬尼街22-46號海暉大廈地下Q鋪
順豐站,西灣河,852PGL,香港西灣河興民街28-36號地下E舖A部份
順豐站,小西灣,852PHL,香港小西灣小西灣道9號富欣花園69號舖
順豐站,旺角,852BEL,九龍旺角登打士街56號柏裕商業中心16樓1626室
順豐站,旺角,852BAL,九龍旺角海泓道富榮花園2期地下38號舖
順豐站,旺角,852BDL,九龍旺角亞皆老街83號先達廣場2樓S105舖
順豐站,大角咀,852BFL,九龍大角咀惠安街3號中英樓地下6號舖
順豐站,石硤尾,852BCL,九龍石硤尾偉智里2號金玉大廈地下222號舖
順豐站,紅磡,852KAL,九龍紅磡寶其利街12號地下1A及2號舖(入口於黃埔街)
順豐站,紅磡,852KEL,九龍紅磡黃埔花園12期德康街3號家居庭地庫82舖
順豐站,何文田,852KBL,九龍何文田邨何文田廣場2樓206A舖
順豐站,土瓜灣,852KDL,九龍土瓜灣炮仗街178號興基豪園地下B舖
